CLONEID	ACC	LLID	PHASE	NAME	Annotation	Name_Annot	CommunityID
IMAGE:241043	H91398	NA	S phase	 Human clone 137308 mRNA, partial cds Hs.322149		S phase  Human clone 137308 mRNA, partial cds Hs.322149 H91398 	38
IMAGE:242578	H94949	10024	M/G1	TROAP trophinin associated protein (tastin) Hs.171955	cell adhesion| | | | | | | | | | | | | 	M/G1 TROAP trophinin associated protein (tastin) Hs.171955 H94949 cell adhesion| | | | | | | | | | | | | 	70
IMAGE:243135	H95819	NA	G2/M	 **ESTs, Weakly similar to 2004399A chromosomal protein [H.sapiens] Hs.221754		G2/M  **ESTs, Weakly similar to 2004399A chromosomal protein [H.sapiens] Hs.221754 H95819 	124
IMAGE:243727	N39306	25948	G2	DKFZP566C134 DKFZP566C134 protein Hs.20237		G2 DKFZP566C134 DKFZP566C134 protein Hs.20237 N39306 	70
IMAGE:244058	N38809	83879	G1/S	JPO1 c-Myc target JPO1 Hs.333893		G1/S JPO1 c-Myc target JPO1 Hs.333893 N38809 	124
IMAGE:244754	N54333	29056	G2	PRO0650 PRO0650 protein Hs.177258		G2 PRO0650 PRO0650 protein Hs.177258 N54333 	124
IMAGE:244767	N54344	23397	G2	KIAA0074 KIAA0074 protein Hs.1192		G2 KIAA0074 KIAA0074 protein Hs.1192 N54344 	124
IMAGE:246808	N53214	55655	G2	FLJ20510 hypothetical protein FLJ20510 Hs.6844		G2 FLJ20510 hypothetical protein FLJ20510 Hs.6844 N53214 	124
IMAGE:246881	N53236	26118	G2	DKFZP564A122 DKFZP564A122 protein Hs.187991		G2 DKFZP564A122 DKFZP564A122 protein Hs.187991 N53236 	124
IMAGE:252491	H87567	NA	S phase	 Human clone 137308 mRNA, partial cds Hs.322149		S phase  Human clone 137308 mRNA, partial cds Hs.322149 H87567 	38
IMAGE:253009	H88588	8841	G2	HDAC3 histone deacetylase 3 Hs.279789	cell cycle control| | | | | | | | | | | | | 	G2 HDAC3 histone deacetylase 3 Hs.279789 H88588 cell cycle control| | | | | | | | | | | | | 	70
IMAGE:256664	H95392	3014	G2	H2AFX H2A histone family, member X Hs.147097		G2 H2AFX H2A histone family, member X Hs.147097 H95392 	124
IMAGE:258761	N30185	55789	G2/M	FLJ11252 hypothetical protein FLJ11252 Hs.23495		G2/M FLJ11252 hypothetical protein FLJ11252 Hs.23495 N30185 	124
IMAGE:259884	N42045	57211	G2	DKFZP564D0462 hypothetical protein DKFZp564D0462 Hs.44197		G2 DKFZP564D0462 hypothetical protein DKFZp564D0462 Hs.44197 N42045 	70
IMAGE:264502	N20305	NA	G2/M	 ESTs Hs.20575		G2/M  ESTs Hs.20575 N20305 	124
IMAGE:26997	R37145	5889	G2/M	RAD51C RAD51 (S. cerevisiae) homolog C Hs.11393	DNA repair| DNA recombination| | | | | | | | | | | | 	G2/M RAD51C RAD51 (S. cerevisiae) homolog C Hs.11393 R37145 DNA repair| DNA recombination| | | | | | | | | | | | 	124
IMAGE:270331	N41481	91687	G2	dJ383J4.3 hypothetical gene supported by BC007071 Hs.117305		G2 dJ383J4.3 hypothetical gene supported by BC007071 Hs.117305 N41481 	124
IMAGE:280375	N47113	29028	G1/S	PRO2000 PRO2000 protein Hs.46677		G1/S PRO2000 PRO2000 protein Hs.46677 N47113 	124
IMAGE:281585	N51201	996	G2/M	CDC27 cell division cycle 27 Hs.172405	cell proliferation| mitosis| nuclear division| cell cycle| | | | | | | | | | 	G2/M CDC27 cell division cycle 27 Hs.172405 N51201 cell proliferation| mitosis| nuclear division| cell cycle| | | | | | | | | | 	124
IMAGE:281898	N53308	1163	G2	CKS1 CDC2-Associted protein CKS1 Hs.77550	cell cycle control| cell proliferation| cell cycle control| cell cycle| | | | | | | | | | 	G2 CKS1 CDC28 protein kinase 1 Hs.77550 N53308 cell cycle control| cell proliferation| cell cycle control| cell cycle| | | | | | | | | | 	124
IMAGE:283919	N50797	8334	*S phase	H2AFL H2A histone family, member L Hs.28777		*S phase H2AFL H2A histone family, member L Hs.28777 N50797 	70
IMAGE:289496	N63988	NA	M/G1	 ESTs Hs.293797		M/G1  ESTs Hs.293797 N63988 	70
IMAGE:292171	N79167	83695	G2	MGC13204 hypothetical protein MGC13204 Hs.157148		G2 MGC13204 hypothetical protein MGC13204 Hs.157148 N79167 	124
IMAGE:292568	N68486	NA	S phase	 ESTs Hs.193379		S phase  ESTs Hs.193379 N68486 	70
IMAGE:292933	N69491	3833	G2	KNSL2 kinesin-like 2 Hs.20830		G2 KNSL2 kinesin-like 2 Hs.20830 N69491 	124
IMAGE:292936	N63744	55143	G2	FLJ10468 hypothetical protein FLJ10468 Hs.48855		G2 FLJ10468 hypothetical protein FLJ10468 Hs.48855 N63744 	124
IMAGE:292964	N91105	9585	G2	MPHOSPH1 M-phase phosphoprotein 1 Hs.240	M phase| cell cycle| cell cycle control| | | | | | | | | | | 	G2 MPHOSPH1 M-phase phosphoprotein 1 Hs.240 N91105 M phase| cell cycle| cell cycle control| | | | | | | | | | | 	124
IMAGE:296155	N70010	NA	S phase	 Homo sapiens, Similar to RIKEN cDNA 2610036L13 gene, clone MGC:16386 IMAGE:3938081, mRNA, complete cds Hs.23044		S phase  Homo sapiens, Similar to RIKEN cDNA 2610036L13 gene, clone MGC:16386 IMAGE:3938081, mRNA, complete cds Hs.23044 N70010 	124
IMAGE:297178	W03979	79733	S phase	FLJ23311 hypothetical protein FLJ23311 Hs.94292		S phase FLJ23311 hypothetical protein FLJ23311 Hs.94292 W03979 	124
IMAGE:301388	N79504	NA	G2	TOP2A **topoisomerase (DNA) II alpha (170kD) Hs.156346		G2 TOP2A **topoisomerase (DNA) II alpha (170kD) Hs.156346 N79504 	124
IMAGE:30170	R42530	836	G2	CASP3 caspase 3, apoptosis-related cysteine protease Hs.74552	physiological processes| cell death| cell death| cell death| | | | | | | | | | 	G2 CASP3 caspase 3, apoptosis-related cysteine protease Hs.74552 R42530 physiological processes| cell death| cell death| cell death| | | | | | | | | | 	124
IMAGE:309288	W40404	5984	S phase	RFC4 replication factor C (activator 1) 4 (37kD) Hs.35120	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	S phase RFC4 replication factor C (activator 1) 4 (37kD) Hs.35120 W40404 DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	124
IMAGE:321574	W32778	57668	G2/M	KIAA1547 KIAA1547 protein Hs.31305		G2/M KIAA1547 KIAA1547 protein Hs.31305 W32778 	70
IMAGE:328768	W40398	NA	G2/M	EST Hs.323101 W40398  		G2/M EST Hs.323101 W40398   W40398 	124
IMAGE:342640	W68219	9768	S phase	KIAA0101 KIAA0101 gene product Hs.81892		S phase KIAA0101 KIAA0101 gene product Hs.81892 W68219 	70
IMAGE:357373	W93717	9787	G2/M	KIAA0008 KIAA0008 gene product Hs.77695		G2/M KIAA0008 KIAA0008 gene product Hs.77695 W93717 	124
IMAGE:359119	AA010065	1164	G2/M	CKS2 CDC2-Associted protein CKS2 Hs.83758	cell proliferation| cell cycle control| cell cycle| | | | | | | | | | | 	G2/M CKS2 CDC28 protein kinase 2 Hs.83758 AA010065 cell proliferation| cell cycle control| cell cycle| | | | | | | | | | | 	124
IMAGE:359191	AA010110	26353	S phase	H11 protein kinase H11; small stress protein-like protein HSP22 Hs.111676		S phase H11 protein kinase H11; small stress protein-like protein HSP22 Hs.111676 AA010110 	70
IMAGE:362483	AA018591	NA	G2/M	 **Homo sapiens cDNA FLJ13700 fis, clone PLACE2000216, highly similar to SPECTRIN BETA CHAIN, BRAIN Hs.324648		G2/M  **Homo sapiens cDNA FLJ13700 fis, clone PLACE2000216, highly similar to SPECTRIN BETA CHAIN, BRAIN Hs.324648 AA018591 	70
IMAGE:366057	AA071514	993	G1/S	CDC25A cell division cycle 25A Hs.1634	cell cycle control| cell cycle control| cell cycle| | | | | | | | | | | 	G1/S CDC25A cell division cycle 25A Hs.1634 AA071514 cell cycle control| cell cycle control| cell cycle| | | | | | | | | | | 	124
IMAGE:366105	AA071526	5514	G2/M	PPP1R10 protein phosphatase 1, regulatory subunit 10 Hs.106019	transport| metabolism| | | | | | | | | | | | 	G2/M PPP1R10 protein phosphatase 1, regulatory subunit 10 Hs.106019 AA071526 transport| metabolism| | | | | | | | | | | | 	124
IMAGE:366414	AA026429	29128	G1/S	ICBP90 transcription factor Hs.108106	cell proliferation| transcription| | | | | | | | | | | | 	G1/S ICBP90 transcription factor Hs.108106 AA026429 cell proliferation| transcription| | | | | | | | | | | | 	124
IMAGE:366971	AA026682	7153	G2	TOP2A topoisomerase (DNA) II alpha (170kD) Hs.156346		G2 TOP2A topoisomerase (DNA) II alpha (170kD) Hs.156346 AA026682 	124
IMAGE:378032	AA775625	23015	S phase	KIAA0855 golgin-67 Hs.182982		S phase KIAA0855 golgin-67 Hs.182982 AA775625 	70
IMAGE:378433	AA775600	55344	G1/S	FLJ11323 hypothetical protein FLJ11323 Hs.25625		G1/S FLJ11323 hypothetical protein FLJ11323 Hs.25625 AA775600 	70
IMAGE:38816	R36063	NA	G2	TUBA1 **tubulin, alpha 1 (testis specific) Hs.75318 R36063  		G2 TUBA1 **tubulin, alpha 1 (testis specific) Hs.75318 R36063   R36063 	70
IMAGE:415064	W93120	84921	G1/S	FLJ14761 hypothetical protein FLJ14761 Hs.250848		G1/S FLJ14761 hypothetical protein FLJ14761 Hs.250848 W93120 	124
IMAGE:415089	W93379	4751	G2/M	NEK2 NIMA (never in mitosis gene a)-related kinase 2 Hs.153704	mitosis| nuclear division| cell cycle| cell cycle control| control of mitosis| nuclear division| cell cycle| | | | | | | 	G2/M NEK2 NIMA (never in mitosis gene a)-related kinase 2 Hs.153704 W93379 mitosis| nuclear division| cell cycle| cell cycle control| control of mitosis| nuclear division| cell cycle| | | | | | | 	124
IMAGE:416316	W86139	5411	G1/S	PNN pinin, desmosome associated protein Hs.44499	cell adhesion| cell shape and cell size control| | | | | | | | | | | | 	G1/S PNN pinin, desmosome associated protein Hs.44499 W86139 cell adhesion| cell shape and cell size control| | | | | | | | | | | | 	124
IMAGE:418150	W90164	51514	G1/S	RAMP RA-regulated nuclear matrix-associated protein Hs.126774		G1/S RAMP RA-regulated nuclear matrix-associated protein Hs.126774 W90164 	124
IMAGE:42739	R61007	7803	G2/M	PTP4A1 protein tyrosine phosphatase type IVA, member 1 Hs.227777	obsolete| protein modification| metabolism| | | | | | | | | | | 	G2/M PTP4A1 protein tyrosine phosphatase type IVA, member 1 Hs.227777 R61007 obsolete| protein modification| metabolism| | | | | | | | | | | 	38
IMAGE:42831	R60197	NA	G2	LTBP3 **latent transforming growth factor beta binding protein 3 Hs.289019		G2 LTBP3 **latent transforming growth factor beta binding protein 3 Hs.289019 R60197 	124
IMAGE:429323	AA007395	127	G2/M	ADH4 alcohol dehydrogenase 4 (class II), pi polypeptide Hs.1219	metabolism| metabolism| metabolism| | | | | | | | | | | 	G2/M ADH4 alcohol dehydrogenase 4 (class II), pi polypeptide Hs.1219 AA007395 metabolism| metabolism| metabolism| | | | | | | | | | | 	124
IMAGE:430973	AA678348	NA	G2	 ESTs Hs.15091		G2  ESTs Hs.15091 AA678348 	124
IMAGE:431001	AA677920	51004	G2	LOC51004 CGI-10 protein Hs.12239		G2 LOC51004 CGI-10 protein Hs.12239 AA677920 	124
IMAGE:431242	AA682533	NA	G2/M	 ESTs Hs.111471		G2/M  ESTs Hs.111471 AA682533 	124
IMAGE:43229	H13004	5111	G1/S	PCNA proliferating cell nuclear antigen Hs.78996	DNA repair| DNA replication| cell cycle| DNA replication| cell proliferation| cell cycle control| | | | | | | | 	G1/S PCNA proliferating cell nuclear antigen Hs.78996 H13004 DNA repair| DNA replication| cell cycle| DNA replication| cell proliferation| cell cycle control| | | | | | | | 	124
IMAGE:435076	AA701455	1063	G2/M	CENPF centromere protein F (350/400kD, mitosin) Hs.77204	mitosis| nuclear division| cell cycle| control of mitosis| nuclear division| cell cycle control| DNA replication and chromosome cycle| | | | | | | 	G2/M CENPF centromere protein F (350/400kD, mitosin) Hs.77204 AA701455 mitosis| nuclear division| cell cycle| control of mitosis| nuclear division| cell cycle control| DNA replication and chromosome cycle| | | | | | | 	124
IMAGE:435334	AA699928 	NA	G2/M	AA699928  		G2/M AA699928   AA699928  	124
IMAGE:447208	AA703000	9156	S phase	EXO1 exonuclease 1 Hs.47504	DNA repair| DNA repair| DNA recombination| | | | | | | | | | | 	S phase EXO1 exonuclease 1 Hs.47504 AA703000 DNA repair| DNA repair| DNA recombination| | | | | | | | | | | 	124
IMAGE:447715	AA702781	8365	*S phase	H4FH H4 histone family, member H Hs.93758		*S phase H4FH H4 histone family, member H Hs.93758 AA702781 	70
IMAGE:448190	AA702174	329	G2/M	BIRC2 baculoviral IAP repeat-containing 2 Hs.289107	signal transduction| | | | | | | | | | | | | 	G2/M BIRC2 baculoviral IAP repeat-containing 2 Hs.289107 AA702174 signal transduction| | | | | | | | | | | | | 	70
IMAGE:45138	H07899	7424	M/G1	VEGFC vascular endothelial growth factor C Hs.79141	signal transduction| developmental processes| cell motility| cell proliferation| | | | | | | | | | 	M/G1 VEGFC vascular endothelial growth factor C Hs.79141 H07899 signal transduction| developmental processes| cell motility| cell proliferation| | | | | | | | | | 	124
IMAGE:452363	AA700879	NA	G2	 ESTs, Highly similar to MKLP_HUMAN MITOTIC KINESIN-LIKE PROTEIN [H.sapiens] Hs.186814		G2  ESTs, Highly similar to MKLP_HUMAN MITOTIC KINESIN-LIKE PROTEIN [H.sapiens] Hs.186814 AA700879 	124
IMAGE:452818	AA704809	6491	G2	SIL TAL1 (SCL) interrupting locus Hs.323032	cell proliferation| | | | | | | | | | | | | 	G2 SIL TAL1 (SCL) interrupting locus Hs.323032 AA704809 cell proliferation| | | | | | | | | | | | | 	70
IMAGE:454469	AA677337	NA	G1/S	 ESTs, Moderately similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.173495		G1/S  ESTs, Moderately similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.173495 AA677337 	124
IMAGE:455128	AA676797	899	G2	CCNF cyclin F Hs.1973	cell cycle control| | | | | | | | | | | | | 	G2 CCNF cyclin F Hs.1973 AA676797 cell cycle control| | | | | | | | | | | | | 	124
IMAGE:45578	H08016	5608	G1/S	MAP2K6 mitogen-activated protein kinase kinase 6 Hs.118825	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| signal transduction| DNA damage response| protein modification| metabolism| | | | | | 	G1/S MAP2K6 mitogen-activated protein kinase kinase 6 Hs.118825 H08016 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| signal transduction| DNA damage response| protein modification| metabolism| | | | | | 	70
IMAGE:460438	AA677552	55247	G2	FLJ10858 hypothetical protein FLJ10858 Hs.134403		G2 FLJ10858 hypothetical protein FLJ10858 Hs.134403 AA677552 	124
IMAGE:461699	AA682274	55608	G1/S	FLJ20093 hypothetical protein FLJ20093 Hs.172572		G1/S FLJ20093 hypothetical protein FLJ20093 Hs.172572 AA682274 	124
IMAGE:461759	AA682386	4973	G2/M	OLR1 oxidised low density lipoprotein (lectin-like) receptor 1 Hs.77729	physiological processes| protein degradation| metabolism| | | | | | | | | | | 	G2/M OLR1 oxidised low density lipoprotein (lectin-like) receptor 1 Hs.77729 AA682386 physiological processes| protein degradation| metabolism| | | | | | | | | | | 	70
IMAGE:461933	AA779949	51203	G2	ANKT nucleolar protein ANKT Hs.279905		G2 ANKT nucleolar protein ANKT Hs.279905 AA779949 	124
IMAGE:462655	AA705010	NA	G1/S	 ESTs, Weakly similar to 1207289A reverse transcriptase related protein [H.sapiens] Hs.272135		G1/S  ESTs, Weakly similar to 1207289A reverse transcriptase related protein [H.sapiens] Hs.272135 AA705010 	124
IMAGE:471568	AA035429	51155	G2	HN1 hematological and neurological expressed 1 Hs.109706		G2 HN1 hematological and neurological expressed 1 Hs.109706 AA035429 	124
IMAGE:48398	H14392	994	G2/M	CDC25B cell division cycle 25B Hs.153752	mitosis| nuclear division| cell cycle| cell cycle control| cell proliferation| | | | | | | | | 	G2/M CDC25B cell division cycle 25B Hs.153752 H14392 mitosis| nuclear division| cell cycle| cell cycle control| cell proliferation| | | | | | | | | 	124
IMAGE:486710	AA044326	8564	M/G1	KMO kynurenine 3-monooxygenase (kynurenine 3-hydroxylase) Hs.107318	metabolism| | | | | | | | | | | | | 	M/G1 KMO kynurenine 3-monooxygenase (kynurenine 3-hydroxylase) Hs.107318 AA044326 metabolism| | | | | | | | | | | | | 	70
IMAGE:487087	AA045414	51141	S phase	LOC51141 insulin induced protein 2 Hs.7089		S phase LOC51141 insulin induced protein 2 Hs.7089 AA045414 	70
IMAGE:487172	AA043796	NA	G2/M	B4GALT1 **UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 Hs.198248		G2/M B4GALT1 **UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 Hs.198248 AA043796 	70
IMAGE:488033	AA045792	4189	G1/S	DNAJB9 DnaJ (Hsp40) homolog, subfamily B, member 9 Hs.6790		G1/S DNAJB9 DnaJ (Hsp40) homolog, subfamily B, member 9 Hs.6790 AA045792 	70
IMAGE:488422	AA044890	10362	G2/M	HMG20B high-mobility group 20B Hs.32317	DNA packaging| | | | | | | | | | | | | 	G2/M HMG20B high-mobility group 20B Hs.32317 AA044890 DNA packaging| | | | | | | | | | | | | 	70
IMAGE:489489	AA099136	3930	G2/M	LBR lamin B receptor Hs.152931		G2/M LBR lamin B receptor Hs.152931 AA099136 	124
IMAGE:489798	AA099819	23015	S phase	KIAA0855 golgin-67 Hs.182982		S phase KIAA0855 golgin-67 Hs.182982 AA099819 	70
IMAGE:49162	H16635	23152	G2	KIAA0306 KIAA0306 protein Hs.306117		G2 KIAA0306 KIAA0306 protein Hs.306117 H16635 	70
IMAGE:49356	H15101	23015	S phase	KIAA0855 golgin-67 Hs.182982		S phase KIAA0855 golgin-67 Hs.182982 H15101 	70
IMAGE:50615	H17513	3305	G2/M	HSPA1L heat shock 70kD protein-like 1 Hs.80288		G2/M HSPA1L heat shock 70kD protein-like 1 Hs.80288 H17513 	124
IMAGE:50787	H16833	6715	G2/M	SRD5A1 steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1) Hs.552	developmental processes| cell-cell signaling| | | | | | | | | | | | 	G2/M SRD5A1 steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1) Hs.552 H16833 developmental processes| cell-cell signaling| | | | | | | | | | | | 	124
IMAGE:510228	AA053556	4288	G2/M	MKI67 antigen identified by monoclonal antibody Ki-67 Hs.80976	cell cycle control| cell proliferation| | | | | | | | | | | | 	G2/M MKI67 antigen identified by monoclonal antibody Ki-67 Hs.80976 AA053556 cell cycle control| cell proliferation| | | | | | | | | | | | 	124
IMAGE:510273	AA053165	NA	G1/S	**Homo sapiens cDNA: FLJ23538 fis, clone LNG08010, highly similar to BETA2 Human MEN1 region clone epsilon/beta mRNA Hs.240443 AA053165  		G1/S **Homo sapiens cDNA: FLJ23538 fis, clone LNG08010, highly similar to BETA2 Human MEN1 region clone epsilon/beta mRNA Hs.240443 AA053165   AA053165 	70
IMAGE:511096	AA088458	NA	G2/M	 Homo sapiens, Similar to RIKEN cDNA 2010317E24 gene, clone IMAGE:3502019, mRNA, partial cds Hs.19322		G2/M  Homo sapiens, Similar to RIKEN cDNA 2010317E24 gene, clone IMAGE:3502019, mRNA, partial cds Hs.19322 AA088458 	124
IMAGE:511786	AI732412	10595	G2/M	ERN2 ER to nucleus signalling 2 Hs.114905		G2/M ERN2 ER to nucleus signalling 2 Hs.114905 AI732412 	124
IMAGE:511967	AI732416	10595	G2/M	ERN2 ER to nucleus signalling 2 Hs.114905		G2/M ERN2 ER to nucleus signalling 2 Hs.114905 AI732416 	124
IMAGE:51532	H20558	23204	G2/M	ARL6IP ADP-ribosylation factor-like 6 interacting protein Hs.75249		G2/M ARL6IP ADP-ribosylation factor-like 6 interacting protein Hs.75249 H20558 	124
IMAGE:531402	AA075920	4174	G1/S	MCM5 minichromosome maintenance deficient (S. cerevisiae) 5 (cell division cycle 46) Hs.77171	DNA replication| cell cycle| DNA replication| cell cycle control| | | | | | | | | | 	G1/S MCM5 minichromosome maintenance deficient (S. cerevisiae) 5 (cell division cycle 46) Hs.77171 AA075920 DNA replication| cell cycle| DNA replication| cell cycle control| | | | | | | | | | 	70
IMAGE:544502	AA075011	3434	M/G1	IFIT1 interferon-induced protein with tetratricopeptide repeats 1 Hs.20315		M/G1 IFIT1 interferon-induced protein with tetratricopeptide repeats 1 Hs.20315 AA075011 	70
IMAGE:564803	AA136566	2305	G2/M	FOXM1 forkhead box M1 Hs.239	cell communication| stress response| transcription| | | | | | | | | | | 	G2/M FOXM1 forkhead box M1 Hs.239 AA136566 cell communication| stress response| transcription| | | | | | | | | | | 	124
IMAGE:565734	AA135809	NA	G1/S	 ESTs Hs.48480		G1/S  ESTs Hs.48480 AA135809 	124
IMAGE:590253	AA147792	55632	G2/M	FLJ20333 hypothetical protein FLJ20333 Hs.79828		G2/M FLJ20333 hypothetical protein FLJ20333 Hs.79828 AA147792 	124
IMAGE:590774	AA158169	5603	G2/M	MAPK13 mitogen-activated protein kinase 13 Hs.178695	stress response| signal transduction| cell communication| stress response| | | | | | | | | | 	G2/M MAPK13 mitogen-activated protein kinase 13 Hs.178695 AA158169 stress response| signal transduction| cell communication| stress response| | | | | | | | | | 	124
IMAGE:591095	AA158346	64710	M/G1	NUCKS similar to rat nuclear ubiquitous casein kinase 2 Hs.118064		M/G1 NUCKS similar to rat nuclear ubiquitous casein kinase 2 Hs.118064 AA158346 	70
IMAGE:592699	AA159962	NA	G2	 Human DNA sequence from clone RP1-187J11 on chromosome 6q11.1-22.33. Contains the gene for a novel protein similar to S. pombe and S. cerevisiae predicted proteins, the gene for a novel protein simila Hs.72325		G2  Human DNA sequence from clone RP1-187J11 on chromosome 6q11.1-22.33. Contains the gene for a novel protein similar to S. pombe and S. cerevisiae predicted proteins, the gene for a novel protein simila Hs.72325 AA159962 	70
IMAGE:594693	AA165312	3022	*S phase	H4F2 H4 histone, family 2 Hs.55468		*S phase H4F2 H4 histone, family 2 Hs.55468 AA165312 	70
IMAGE:610362	AA171715	NA	G2/M	HMMR **hyaluronan-mediated motility receptor (RHAMM) Hs.72550		G2/M HMMR **hyaluronan-mediated motility receptor (RHAMM) Hs.72550 AA171715 	124
IMAGE:624627	AA187351	6241	S phase	RRM2 ribonucleotide reductase M2 polypeptide Hs.75319		S phase RRM2 ribonucleotide reductase M2 polypeptide Hs.75319 AA187351 	70
IMAGE:645565	AA204830	NA	G2/M	FLJ20354 **hypothetical protein FLJ20354 Hs.133260		G2/M FLJ20354 **hypothetical protein FLJ20354 Hs.133260 AA204830 	124
IMAGE:66406	T66936	55355	G2	DKFZp762E1312 hypothetical protein DKFZp762E1312 Hs.104859		G2 DKFZp762E1312 hypothetical protein DKFZp762E1312 Hs.104859 T66936 	124
IMAGE:67092	T56726	NA	G2	T56726  		G2 T56726   T56726 	124
IMAGE:684277	AA236015	NA	S phase	 ESTs Hs.87507		S phase  ESTs Hs.87507 AA236015 	70
IMAGE:686172	AA262212	9787	G2/M	KIAA0008 KIAA0008 gene product Hs.77695		G2/M KIAA0008 KIAA0008 gene product Hs.77695 AA262212 	124
IMAGE:68950	T54121	898	G1/S	CCNE1 cyclin E1 Hs.9700		G1/S CCNE1 cyclin E1 Hs.9700 T54121 	124
IMAGE:70030	T48761	55632	G2	FLJ20333 hypothetical protein FLJ20333 Hs.79828		G2 FLJ20333 hypothetical protein FLJ20333 Hs.79828 T48761 	124
IMAGE:700503	AA291137	NA	G2	 ESTs Hs.183299		G2  ESTs Hs.183299 AA291137 	223
IMAGE:700721	AA285155	4174	G1/S	MCM5 minichromosome maintenance deficient (S. cerevisiae) 5 (cell division cycle 46) Hs.77171	DNA replication| cell cycle| DNA replication| cell cycle control| | | | | | | | | | 	G1/S MCM5 minichromosome maintenance deficient (S. cerevisiae) 5 (cell division cycle 46) Hs.77171 AA285155 DNA replication| cell cycle| DNA replication| cell cycle control| | | | | | | | | | 	70
IMAGE:700792	AA284072	1033	M/G1	CDKN3 cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase) Hs.84113	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell cycle| cell cycle control| cell proliferation| | | | | | | 	M/G1 CDKN3 cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase) Hs.84113 AA284072 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell cycle| cell cycle control| cell proliferation| | | | | | | 	124
IMAGE:701625	AA284172	4863	G1/S	NPAT nuclear protein, ataxia-telangiectasia locus Hs.89385		G1/S NPAT nuclear protein, ataxia-telangiectasia locus Hs.89385 AA284172 	124
IMAGE:703633	AA278629	1163	G2	CKS1 CDC2-Associted protein CKS1 Hs.77550	cell cycle control| cell proliferation| cell cycle control| cell cycle| | | | | | | | | | 	G2 CKS1 CDC28 protein kinase 1 Hs.77550 AA278629 cell cycle control| cell proliferation| cell cycle control| cell cycle| | | | | | | | | | 	124
IMAGE:703838	AA279100	734	S phase	C8orf1 chromosome 8 open reading frame 1 Hs.40539		S phase C8orf1 chromosome 8 open reading frame 1 Hs.40539 AA279100 	70
IMAGE:705064	AA279990	10460	G2/M	TACC3 transforming, acidic coiled-coil containing protein 3 Hs.104019	obsolete| cell growth and/or maintenance| | | | | | | | | | | | 	G2/M TACC3 transforming, acidic coiled-coil containing protein 3 Hs.104019 AA279990 obsolete| cell growth and/or maintenance| | | | | | | | | | | | 	124
IMAGE:712166	AA280248	23015	S phase	KIAA0855 golgin-67 Hs.182982		S phase KIAA0855 golgin-67 Hs.182982 AA280248 	124
IMAGE:712505	AA278152	NA	G2	 **Homo sapiens cDNA FLJ14365 fis, clone HEMBA1001019 Hs.348383		G2  **Homo sapiens cDNA FLJ14365 fis, clone HEMBA1001019 Hs.348383 AA278152 	124
IMAGE:713127	AA283006	10051	G2	SMC4L1 SMC4 (structural maintenance of chromosomes 4, yeast)-like 1 Hs.50758	chromosome segregation| mitosis| nuclear division| cell cycle| chromosome condensation| mitosis| cell cycle| DNA replication and chromosome cycle| cell growth and/or maintenance| | | | | 	G2 SMC4L1 SMC4 (structural maintenance of chromosomes 4, yeast)-like 1 Hs.50758 AA283006 chromosome segregation| mitosis| nuclear division| cell cycle| chromosome condensation| mitosis| cell cycle| DNA replication and chromosome cycle| cell growth and/or maintenance| | | | | 	124
IMAGE:713236	AA282936	9585	G2/M	MPHOSPH1 M-phase phosphoprotein 1 Hs.240	M phase| cell cycle| cell cycle control| | | | | | | | | | | 	G2/M MPHOSPH1 M-phase phosphoprotein 1 Hs.240 AA282936 M phase| cell cycle| cell cycle control| | | | | | | | | | | 	124
IMAGE:714043	AA284907	NA	G2	 ESTs Hs.43148		G2  ESTs Hs.43148 AA284907 	304
IMAGE:71902	T52152	26586	G2	CKAP2 cytoskeleton associated protein 2 Hs.24641		G2 CKAP2 cytoskeleton associated protein 2 Hs.24641 T52152 	124
IMAGE:723930	AA292522	84904	G2	FLJ14642 hypothetical protein FLJ14642 Hs.245342		G2 FLJ14642 hypothetical protein FLJ14642 Hs.245342 AA292522 	124
IMAGE:725454	AA292964	1164	G2/M	CKS2 CDC2-Associted protein CKS2 Hs.83758	cell proliferation| cell cycle control| cell cycle| | | | | | | | | | | 	G2/M CKS2 CDC28 protein kinase 2 Hs.83758 AA292964 cell proliferation| cell cycle control| cell cycle| | | | | | | | | | | 	124
