CLONEID	ACC	LLID	PHASE	NAME	Annotation	Name_Annot
IMAGE:346257	W74071	4173	G1/S	MCM4 minichromosome maintenance deficient (S. cerevisiae) 4 Hs.154443	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	G1/S MCM4 minichromosome maintenance deficient (S. cerevisiae) 4 Hs.154443 W74071 DNA replication| cell cycle| DNA replication| | | | | | | | | | | 
IMAGE:194236	H51719	4998	G1/S	"ORC1L origin recognition complex, subunit 1 (yeast homolog)-like Hs.17908"	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	"G1/S ORC1L origin recognition complex, subunit 1 (yeast homolog)-like Hs.17908 H51719 DNA replication| cell cycle| DNA replication| | | | | | | | | | | "
IMAGE:260336	H99257	23595	S phase	"ORC3L origin recognition complex, subunit 3 (yeast homolog)-like Hs.74420"	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	"S phase ORC3L origin recognition complex, subunit 3 (yeast homolog)-like Hs.74420 H99257 DNA replication| cell cycle| DNA replication| | | | | | | | | | | "
IMAGE:825265	AA504204	10714	G1/S	"POLD3 polymerase (DNA directed), delta 3 Hs.82502"	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	"G1/S POLD3 polymerase (DNA directed), delta 3 Hs.82502 AA504204 DNA replication| cell cycle| DNA replication| | | | | | | | | | | "
IMAGE:1636288	AI017254	10714	G1/S	"POLD3 polymerase (DNA directed), delta 3 Hs.82502"	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	"G1/S POLD3 polymerase (DNA directed), delta 3 Hs.82502 AI017254 DNA replication| cell cycle| DNA replication| | | | | | | | | | | "
IMAGE:365641	AA025937	5557	S phase	"PRIM1 primase, polypeptide 1 (49kD) Hs.82741"	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	"S phase PRIM1 primase, polypeptide 1 (49kD) Hs.82741 AA025937 DNA replication| cell cycle| DNA replication| | | | | | | | | | | "
IMAGE:770880	AA434502	5558	S phase	"PRIM2A primase, polypeptide 2A (58kD) Hs.74519"	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	"S phase PRIM2A primase, polypeptide 2A (58kD) Hs.74519 AA434502 DNA replication| cell cycle| DNA replication| | | | | | | | | | | "
IMAGE:42325	R61073	5558	S phase	"PRIM2A primase, polypeptide 2A (58kD) Hs.74519"	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	"S phase PRIM2A primase, polypeptide 2A (58kD) Hs.74519 R61073 DNA replication| cell cycle| DNA replication| | | | | | | | | | | "
IMAGE:309288	W40404	5984	S phase	RFC4 replication factor C (activator 1) 4 (37kD) Hs.35120	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	S phase RFC4 replication factor C (activator 1) 4 (37kD) Hs.35120 W40404 DNA replication| cell cycle| DNA replication| | | | | | | | | | | 
IMAGE:26616	R13557	6118	S phase	RPA2 replication protein A2 (32kD) Hs.79411	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	S phase RPA2 replication protein A2 (32kD) Hs.79411 R13557 DNA replication| cell cycle| DNA replication| | | | | | | | | | | 
IMAGE:204214	H59203	990	G1/S	"CDC6 CDC6 (cell division cycle 6, S. cerevisiae) homolog Hs.69563"	DNA replication checkpoint| DNA replication| cell cycle| DNA replication| cell cycle control| cell cycle| cell cycle| cell proliferation| | | | | | 	"G1/S CDC6 CDC6 (cell division cycle 6, S. cerevisiae) homolog Hs.69563 H59203 DNA replication checkpoint| DNA replication| cell cycle| DNA replication| cell cycle control| cell cycle| cell cycle| cell proliferation| | | | | | "
IMAGE:453107	AA700904	8318	S phase	"CDC45L CDC45 (cell division cycle 45, S.cerevisiae, homolog)-like Hs.114311"	DNA replication checkpoint| DNA replication| cell cycle| DNA replication| | | | | | | | | | 	"S phase CDC45L CDC45 (cell division cycle 45, S.cerevisiae, homolog)-like Hs.114311 AA700904 DNA replication checkpoint| DNA replication| cell cycle| DNA replication| | | | | | | | | | "
IMAGE:788256	AA454098	9493	G2	KNSL5 kinesin-like 5 (mitotic kinesin-like protein 1) Hs.270845	DNA replication and chromosome cycle| mitotic spindle assembly| nuclear division| spindle assembly| cell cycle| cell growth and/or maintenance| | | | | | | | 	G2 KNSL5 kinesin-like 5 (mitotic kinesin-like protein 1) Hs.270845 AA454098 DNA replication and chromosome cycle| mitotic spindle assembly| nuclear division| spindle assembly| cell cycle| cell growth and/or maintenance| | | | | | | | 
IMAGE:845419	AA644129	2175	S phase	"FANCA Fanconi anemia, complementation group A Hs.284153"	DNA repair| protein metabolism and modification| | | | | | | | | | | | 	"S phase FANCA Fanconi anemia, complementation group A Hs.284153 AA644129 DNA repair| protein metabolism and modification| | | | | | | | | | | | "
IMAGE:630013	AA219061	4436	G1/S	"MSH2 mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1) Hs.78934"	DNA repair| obsolete| DNA repair| | | | | | | | | | | 	"G1/S MSH2 mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1) Hs.78934 AA219061 DNA repair| obsolete| DNA repair| | | | | | | | | | | "
IMAGE:220658	H87851	4436	G1/S	"MSH2 mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1) Hs.78934"	DNA repair| obsolete| DNA repair| | | | | | | | | | | 	"G1/S MSH2 mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1) Hs.78934 H87851 DNA repair| obsolete| DNA repair| | | | | | | | | | | "
IMAGE:1839367	AI214426	10635	S phase	PIR51 RAD51-interacting protein Hs.24596	DNA repair| nuclear division| DNA recombination| | | | | | | | | | | 	S phase PIR51 RAD51-interacting protein Hs.24596 AI214426 DNA repair| nuclear division| DNA recombination| | | | | | | | | | | 
IMAGE:789182	AA450264	5111	G1/S	PCNA proliferating cell nuclear antigen Hs.78996	DNA repair| DNA replication| cell cycle| DNA replication| cell proliferation| cell cycle control| | | | | | | | 	G1/S PCNA proliferating cell nuclear antigen Hs.78996 AA450264 DNA repair| DNA replication| cell cycle| DNA replication| cell proliferation| cell cycle control| | | | | | | | 
IMAGE:43229	H13004	5111	G1/S	PCNA proliferating cell nuclear antigen Hs.78996	DNA repair| DNA replication| cell cycle| DNA replication| cell proliferation| cell cycle control| | | | | | | | 	G1/S PCNA proliferating cell nuclear antigen Hs.78996 H13004 DNA repair| DNA replication| cell cycle| DNA replication| cell proliferation| cell cycle control| | | | | | | | 
IMAGE:447208	AA703000	9156	S phase	EXO1 exonuclease 1 Hs.47504	DNA repair| DNA repair| DNA recombination| | | | | | | | | | | 	S phase EXO1 exonuclease 1 Hs.47504 AA703000 DNA repair| DNA repair| DNA recombination| | | | | | | | | | | 
IMAGE:49464	H15112	7374	G1/S	UNG uracil-DNA glycosylase Hs.78853	DNA repair| DNA repair| | | | | | | | | | | | 	G1/S UNG uracil-DNA glycosylase Hs.78853 H15112 DNA repair| DNA repair| | | | | | | | | | | | 
IMAGE:1476053	AA873056	5888	S phase	RAD51 RAD51 (S. cerevisiae) homolog (E coli RecA homolog) Hs.343807	DNA repair| DNA recombination| nuclear division| DNA recombination| DNA recombination| | | | | | | | | 	S phase RAD51 RAD51 (S. cerevisiae) homolog (E coli RecA homolog) Hs.343807 AA873056 DNA repair| DNA recombination| nuclear division| DNA recombination| DNA recombination| | | | | | | | | 
IMAGE:26997	R37145	5889	G2/M	RAD51C RAD51 (S. cerevisiae) homolog C Hs.11393	DNA repair| DNA recombination| | | | | | | | | | | | 	G2/M RAD51C RAD51 (S. cerevisiae) homolog C Hs.11393 R37145 DNA repair| DNA recombination| | | | | | | | | | | | 
IMAGE:241474	H90415	672	S phase	"BRCA1 breast cancer 1, early onset Hs.194143"	DNA repair| DNA damage response| cell communication| DNA repair| transcription| | | | | | | | | 	"S phase BRCA1 breast cancer 1, early onset Hs.194143 H90415 DNA repair| DNA damage response| cell communication| DNA repair| transcription| | | | | | | | | "
IMAGE:951080	AA620446	9401	G1/S	RECQL4 RecQ protein-like 4 Hs.31442	DNA repair| developmental processes| | | | | | | | | | | | 	G1/S RECQL4 RecQ protein-like 4 Hs.31442 AA620446 DNA repair| developmental processes| | | | | | | | | | | | 
IMAGE:770424	AA427484	2189	G1/S	"FANCG Fanconi anemia, complementation group G Hs.8047"	DNA repair| cell cycle control| cell cycle checkpoint| | | | | | | | | | | 	"G1/S FANCG Fanconi anemia, complementation group G Hs.8047 AA427484 DNA repair| cell cycle control| cell cycle checkpoint| | | | | | | | | | | "
IMAGE:51737	H24301	5932	S phase	RBBP8 retinoblastoma-binding protein 8 Hs.29287	DNA repair| cell cycle checkpoint| transcription| | | | | | | | | | | 	S phase RBBP8 retinoblastoma-binding protein 8 Hs.29287 H24301 DNA repair| cell cycle checkpoint| transcription| | | | | | | | | | | 
IMAGE:951142	AA620553	2237	S phase	FEN1 flap structure-specific endonuclease 1 Hs.4756	DNA repair| cell communication| DNA replication| cell cycle| DNA replication| DNA repair| | | | | | | | 	S phase FEN1 flap structure-specific endonuclease 1 Hs.4756 AA620553 DNA repair| cell communication| DNA replication| cell cycle| DNA replication| DNA repair| | | | | | | | 
IMAGE:359411	AA010492	8930	S phase	MBD4 methyl-CpG binding domain protein 4 Hs.35947	DNA repair| | | | | | | | | | | | | 	S phase MBD4 methyl-CpG binding domain protein 4 Hs.35947 AA010492 DNA repair| | | | | | | | | | | | | 
IMAGE:1673052	AI057325	10721	G2	"POLQ polymerase (DNA directed), theta Hs.241517"	DNA repair| | | | | | | | | | | | | 	"G2 POLQ polymerase (DNA directed), theta Hs.241517 AI057325 DNA repair| | | | | | | | | | | | | "
IMAGE:970613	AA683102	5885	M/G1	RAD21 RAD21 (S. pombe) homolog Hs.81848	DNA recombination| nuclear division| DNA recombination| DNA repair| | | | | | | | | | 	M/G1 RAD21 RAD21 (S. pombe) homolog Hs.81848 AA683102 DNA recombination| nuclear division| DNA recombination| DNA repair| | | | | | | | | | 
IMAGE:795936	AA460927	7247	G2/M	TSN translin Hs.75066	DNA recombination| | | | | | | | | | | | | 	G2/M TSN translin Hs.75066 AA460927 DNA recombination| | | | | | | | | | | | | 
IMAGE:241736	H91788	6602	G2/M	"SMARCD1 SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 Hs.79335"	DNA packaging| transcription| | | | | | | | | | | | 	"G2/M SMARCD1 SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 Hs.79335 H91788 DNA packaging| transcription| | | | | | | | | | | | "
IMAGE:845415	AA644128	4678	G1/S	NASP nuclear autoantigenic sperm protein (histone-binding) Hs.243886	DNA packaging| developmental processes| | | | | | | | | | | | 	G1/S NASP nuclear autoantigenic sperm protein (histone-binding) Hs.243886 AA644128 DNA packaging| developmental processes| | | | | | | | | | | | 
IMAGE:878184	NM_006339	10362	M/G1	HMG20B high-mobility group 20B Hs.32317 AA775743  	DNA packaging| | | | | | | | | | | | | 	M/G1 HMG20B high-mobility group 20B Hs.32317 AA775743   NM_006339 DNA packaging| | | | | | | | | | | | | 
IMAGE:488422	AA044890	10362	G2/M	HMG20B high-mobility group 20B Hs.32317	DNA packaging| | | | | | | | | | | | | 	G2/M HMG20B high-mobility group 20B Hs.32317 AA044890 DNA packaging| | | | | | | | | | | | | 
IMAGE:200136	R97836	11073	G1/S	TOPBP1 topoisomerase (DNA) II binding protein Hs.91417	DNA metabolism| DNA replication and chromosome cycle| | | | | | | | | | | | 	G1/S TOPBP1 topoisomerase (DNA) II binding protein Hs.91417 R97836 DNA metabolism| DNA replication and chromosome cycle| | | | | | | | | | | | 
IMAGE:824962	AA489087	3838	G2	"KPNA2 karyopherin alpha 2 (RAG cohort 1, importin alpha 1) Hs.159557"	DNA metabolism| cell cycle| DNA recombination| transport| metabolism| DNA replication and chromosome cycle| | | | | | | | 	"G2 KPNA2 karyopherin alpha 2 (RAG cohort 1, importin alpha 1) Hs.159557 AA489087 DNA metabolism| cell cycle| DNA recombination| transport| metabolism| DNA replication and chromosome cycle| | | | | | | | "
IMAGE:882510	AA676460	3838	G2	"KPNA2 karyopherin alpha 2 (RAG cohort 1, importin alpha 1) Hs.159557"	DNA metabolism| cell cycle| DNA recombination| transport| metabolism| DNA replication and chromosome cycle| | | | | | | | 	"G2 KPNA2 karyopherin alpha 2 (RAG cohort 1, importin alpha 1) Hs.159557 AA676460 DNA metabolism| cell cycle| DNA recombination| transport| metabolism| DNA replication and chromosome cycle| | | | | | | | "
IMAGE:1372140	AA974495	1763	S phase	"DNA2L DNA2 (DNA replication helicase, yeast, homolog)-like Hs.194665"	DNA metabolism| | | | | | | | | | | | | 	"S phase DNA2L DNA2 (DNA replication helicase, yeast, homolog)-like Hs.194665 AA974495 DNA metabolism| | | | | | | | | | | | | "
IMAGE:781018	AA446292	6598	G2/M	"SMARCB1 SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 Hs.159971"	DNA integration| transcription| | | | | | | | | | | | 	"G2/M SMARCB1 SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 Hs.159971 AA446292 DNA integration| transcription| | | | | | | | | | | | "
IMAGE:194214	R83270	7050	G2/M	TGIF TGFB-induced factor (TALE family homeobox) Hs.90077	developmental processes| transcription| | | | | | | | | | | | 	G2/M TGIF TGFB-induced factor (TALE family homeobox) Hs.90077 R83270 developmental processes| transcription| | | | | | | | | | | | 
IMAGE:896949	AA779417	3156	M/G1	HMGCR 3-hydroxy-3-methylglutaryl-Coenzyme A reductase Hs.11899	developmental processes| developmental processes| lipid metabolism| lipid metabolism| metabolism| | | | | | | | | 	M/G1 HMGCR 3-hydroxy-3-methylglutaryl-Coenzyme A reductase Hs.11899 AA779417 developmental processes| developmental processes| lipid metabolism| lipid metabolism| metabolism| | | | | | | | | 
IMAGE:897865	AA598640	4281	G2	MID1 midline 1 (Opitz/BBB syndrome) Hs.27695	developmental processes| developmental processes| cell shape and cell size control| cell growth and/or maintenance| | | | | | | | | | 	G2 MID1 midline 1 (Opitz/BBB syndrome) Hs.27695 AA598640 developmental processes| developmental processes| cell shape and cell size control| cell growth and/or maintenance| | | | | | | | | | 
IMAGE:1470060	AA865469	7846	G2	"TUBA3 Tubulin, alpha, brain-specific Hs.272897"	developmental processes| developmental processes| cell shape and cell size control| | | | | | | | | | | 	"G2 TUBA3 Tubulin, alpha, brain-specific Hs.272897 AA865469 developmental processes| developmental processes| cell shape and cell size control| | | | | | | | | | | "
IMAGE:50787	H16833	6715	G2/M	"SRD5A1 steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1) Hs.552"	developmental processes| cell-cell signaling| | | | | | | | | | | | 	"G2/M SRD5A1 steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1) Hs.552 H16833 developmental processes| cell-cell signaling| | | | | | | | | | | | "
IMAGE:853938	AA644679	8655	M/G1	"PIN dynein, cytoplasmic, light polypeptide Hs.5120"	developmental processes| cell shape and cell size control| metabolism| developmental processes| obsolete| cell-cell signaling| | | | | | | | 	"M/G1 PIN dynein, cytoplasmic, light polypeptide Hs.5120 AA644679 developmental processes| cell shape and cell size control| metabolism| developmental processes| obsolete| cell-cell signaling| | | | | | | | "
IMAGE:240961	H90899	1832	M/G1	"DSP desmoplakin (DPI, DPII) Hs.74316"	developmental processes| cell shape and cell size control| | | | | | | | | | | | 	"M/G1 DSP desmoplakin (DPI, DPII) Hs.74316 H90899 developmental processes| cell shape and cell size control| | | | | | | | | | | | "
IMAGE:897544	AA496997	4000	G2/M	LMNA lamin A/C Hs.77886	developmental processes| cell shape and cell size control| | | | | | | | | | | | 	G2/M LMNA lamin A/C Hs.77886 AA496997 developmental processes| cell shape and cell size control| | | | | | | | | | | | 
IMAGE:240766	NM_003254	7076	G2	"TIMP1 tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor) Hs.5831 H80214  "	developmental processes| cell proliferation| | | | | | | | | | | | 	"G2 TIMP1 tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor) Hs.5831 H80214   NM_003254 developmental processes| cell proliferation| | | | | | | | | | | | "
IMAGE:785459	AA449289	6525	G2/M	SMTN smoothelin Hs.149098	developmental processes| cell motility| cell shape and cell size control| | | | | | | | | | | 	G2/M SMTN smoothelin Hs.149098 AA449289 developmental processes| cell motility| cell shape and cell size control| | | | | | | | | | | 
IMAGE:609626	AA180004	3799	G2	KINESIN HEAVY CHAIN 	developmental processes| cell growth and/or maintenance| | | | | | | | | | | | 	G2 KINESIN HEAVY CHAIN  AA180004 developmental processes| cell growth and/or maintenance| | | | | | | | | | | | 
IMAGE:845502	AI791165	3799	M/G1	KIF5B kinesin family member 5B Hs.149436	developmental processes| cell growth and/or maintenance| | | | | | | | | | | | 	M/G1 KIF5B kinesin family member 5B Hs.149436 AI791165 developmental processes| cell growth and/or maintenance| | | | | | | | | | | | 
IMAGE:950890	AA608707	3799	G2/M	KIF5B kinesin family member 5B Hs.149436	developmental processes| cell growth and/or maintenance| | | | | | | | | | | | 	G2/M KIF5B kinesin family member 5B Hs.149436 AA608707 developmental processes| cell growth and/or maintenance| | | | | | | | | | | | 
IMAGE:488413	AA046690	3799	G2	KIF5B kinesin family member 5B Hs.149436	developmental processes| cell growth and/or maintenance| | | | | | | | | | | | 	G2 KIF5B kinesin family member 5B Hs.149436 AA046690 developmental processes| cell growth and/or maintenance| | | | | | | | | | | | 
IMAGE:840775	AA486088	10766	M/G1	"TOB2 transducer of ERBB2, 2 Hs.4994"	developmental processes| cell cycle control| cell proliferation| | | | | | | | | | | 	"M/G1 TOB2 transducer of ERBB2, 2 Hs.4994 AA486088 developmental processes| cell cycle control| cell proliferation| | | | | | | | | | | "
IMAGE:45578	H08016	5608	G1/S	MAP2K6 mitogen-activated protein kinase kinase 6 Hs.118825	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| signal transduction| DNA damage response| protein modification| metabolism| | | | | | 	G1/S MAP2K6 mitogen-activated protein kinase kinase 6 Hs.118825 H08016 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| signal transduction| DNA damage response| protein modification| metabolism| | | | | | 
IMAGE:813586	AA447662	51053	G1/S	LOC51053 geminin Hs.234896	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| DNA replication| cell cycle| | | | | | | | 	G1/S LOC51053 geminin Hs.234896 AA447662 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| DNA replication| cell cycle| | | | | | | | 
IMAGE:193883	H51100	51053	G1/S	LOC51053 geminin Hs.234896	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| DNA replication| cell cycle| | | | | | | | 	G1/S LOC51053 geminin Hs.234896 H51100 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| DNA replication| cell cycle| | | | | | | | 
IMAGE:296476	W00975	8850	S phase	PCAF p300/CBP-associated factor Hs.199061	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| DNA packaging| protein modification| | | | | | | | 	S phase PCAF p300/CBP-associated factor Hs.199061 W00975 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| DNA packaging| protein modification| | | | | | | | 
IMAGE:365826	AA025819	2619	G2	GAS1 growth arrest-specific 1 Hs.65029	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell proliferation| | | | | | | | | 	G2 GAS1 growth arrest-specific 1 Hs.65029 AA025819 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell proliferation| | | | | | | | | 
IMAGE:700792	AA284072	1033	M/G1	CDKN3 cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase) Hs.84113	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell cycle| cell cycle control| cell proliferation| | | | | | | 	M/G1 CDKN3 cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase) Hs.84113 AA284072 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell cycle| cell cycle control| cell proliferation| | | | | | | 
IMAGE:145503	R77517	1032	G2/M	"CDKN2D cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4) Hs.29656"	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell cycle control| cell cycle| | | | | | | | 	"G2/M CDKN2D cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4) Hs.29656 R77517 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell cycle control| cell cycle| | | | | | | | "
IMAGE:854668	AA630082	1027	G2	"CDKN1B cyclin-dependent kinase inhibitor 1B (p27, Kip1) Hs.238990"	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell cycle control| cell cycle control| cell proliferation| | | | | | | 	"G2 CDKN1B cyclin-dependent kinase inhibitor 1B (p27, Kip1) Hs.238990 AA630082 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell cycle control| cell cycle control| cell proliferation| | | | | | | "
IMAGE:42271	R60386	10458	G1/S	BAIAP2 BAI1-associated protein 2 Hs.7936	developmental processes| cell communication| signal transduction| | | | | | | | | | | 	G1/S BAIAP2 BAI1-associated protein 2 Hs.7936 R60386 developmental processes| cell communication| signal transduction| | | | | | | | | | | 
IMAGE:897768	AA598507	1294	S phase	"COL7A1 collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive) Hs.1640"	developmental processes| | | | | | | | | | | | | 	"S phase COL7A1 collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive) Hs.1640 AA598507 developmental processes| | | | | | | | | | | | | "
IMAGE:223661	H87275	2487	G2/M	FRZB frizzled-related protein Hs.153684	developmental processes| | | | | | | | | | | | | 	G2/M FRZB frizzled-related protein Hs.153684 H87275 developmental processes| | | | | | | | | | | | | 
IMAGE:878640	AA670197	3149	G2/M	HMG4 high-mobility group (nonhistone chromosomal) protein 4 Hs.19114	developmental processes| | | | | | | | | | | | | 	G2/M HMG4 high-mobility group (nonhistone chromosomal) protein 4 Hs.19114 AA670197 developmental processes| | | | | | | | | | | | | 
IMAGE:162533	H27986	8543	S phase	LMO4 LIM domain only 4 Hs.3844	developmental processes| | | | | | | | | | | | | 	S phase LMO4 LIM domain only 4 Hs.3844 H27986 developmental processes| | | | | | | | | | | | | 
IMAGE:214982	H74163	11135	G2/M	MSE55 serum constituent protein Hs.148101	developmental processes| | | | | | | | | | | | | 	G2/M MSE55 serum constituent protein Hs.148101 H74163 developmental processes| | | | | | | | | | | | | 
IMAGE:587525	AA132766	7737	G1/S	"ZNF183 zinc finger protein 183 (RING finger, C3HC4 type) Hs.64794"	developmental processes| | | | | | | | | | | | | 	"G1/S ZNF183 zinc finger protein 183 (RING finger, C3HC4 type) Hs.64794 AA132766 developmental processes| | | | | | | | | | | | | "
IMAGE:785707	AA449593	9055	M/G1	PRC1 protein regulator of cytokinesis 1 Hs.344037	cytokinesis| DNA replication and chromosome cycle| mitotic spindle assembly| nuclear division| spindle assembly| cell cycle| | | | | | | | 	M/G1 PRC1 protein regulator of cytokinesis 1 Hs.344037 AA449593 cytokinesis| DNA replication and chromosome cycle| mitotic spindle assembly| nuclear division| spindle assembly| cell cycle| | | | | | | | 
IMAGE:128711	R12261	54443	G2/M	"ANLN anillin (Drosophila Scraps homolog), actin binding protein Hs.62180"	control of mitosis| nuclear division| cell cycle control| cell cycle| cytokinesis| | | | | | | | | 	"G2/M ANLN anillin (Drosophila Scraps homolog), actin binding protein Hs.62180 R12261 control of mitosis| nuclear division| cell cycle control| cell cycle| cytokinesis| | | | | | | | | "
IMAGE:129858	R17092	54443	G2	"ANLN anillin (Drosophila Scraps homolog), actin binding protein Hs.62180"	control of mitosis| nuclear division| cell cycle control| cell cycle| cytokinesis| | | | | | | | | 	"G2 ANLN anillin (Drosophila Scraps homolog), actin binding protein Hs.62180 R17092 control of mitosis| nuclear division| cell cycle control| cell cycle| cytokinesis| | | | | | | | | "
IMAGE:713127	AA283006	10051	G2	"SMC4L1 SMC4 (structural maintenance of chromosomes 4, yeast)-like 1 Hs.50758"	chromosome segregation| mitosis| nuclear division| cell cycle| chromosome condensation| mitosis| cell cycle| DNA replication and chromosome cycle| cell growth and/or maintenance| | | | | 	"G2 SMC4L1 SMC4 (structural maintenance of chromosomes 4, yeast)-like 1 Hs.50758 AA283006 chromosome segregation| mitosis| nuclear division| cell cycle| chromosome condensation| mitosis| cell cycle| DNA replication and chromosome cycle| cell growth and/or maintenance| | | | | "
IMAGE:786504	AA452095	10051	G2	"SMC4L1 SMC4 (structural maintenance of chromosomes 4, yeast)-like 1 Hs.50758"	chromosome segregation| mitosis| nuclear division| cell cycle| chromosome condensation| mitosis| cell cycle| DNA replication and chromosome cycle| cell growth and/or maintenance| | | | | 	"G2 SMC4L1 SMC4 (structural maintenance of chromosomes 4, yeast)-like 1 Hs.50758 AA452095 chromosome segregation| mitosis| nuclear division| cell cycle| chromosome condensation| mitosis| cell cycle| DNA replication and chromosome cycle| cell growth and/or maintenance| | | | | "
IMAGE:461770	AA682392	2168	M/G1	"FABP1 fatty acid binding protein 1, liver Hs.5241"	cell-cell signaling| lipid metabolism| developmental processes| | | | | | | | | | | 	"M/G1 FABP1 fatty acid binding protein 1, liver Hs.5241 AA682392 cell-cell signaling| lipid metabolism| developmental processes| | | | | | | | | | | "
IMAGE:843398	AA489442	650	G2/M	BMP2 bone morphogenetic protein 2 Hs.73853	cell-cell signaling| developmental processes| | | | | | | | | | | | 	G2/M BMP2 bone morphogenetic protein 2 Hs.73853 AA489442 cell-cell signaling| developmental processes| | | | | | | | | | | | 
IMAGE:163579	H14230	5864	M/G1	"RAB3A RAB3A, member RAS oncogene family Hs.27744"	cell-cell signaling| | | | | | | | | | | | | 	"M/G1 RAB3A RAB3A, member RAS oncogene family Hs.27744 H14230 cell-cell signaling| | | | | | | | | | | | | "
IMAGE:504469	AA150062	4957	M/G1	ODF2 outer dense fibre of sperm tails 2 Hs.129055	cell shape and cell size control| | | | | | | | | | | | | 	M/G1 ODF2 outer dense fibre of sperm tails 2 Hs.129055 AA150062 cell shape and cell size control| | | | | | | | | | | | | 
IMAGE:743278	AA400407	4957	G2/M	ODF2 outer dense fibre of sperm tails 2 Hs.129055	cell shape and cell size control| | | | | | | | | | | | | 	G2/M ODF2 outer dense fibre of sperm tails 2 Hs.129055 AA400407 cell shape and cell size control| | | | | | | | | | | | | 
IMAGE:841203	AA486728	7414	M/G1	VCL vinculin Hs.75350	cell shape and cell size control| | | | | | | | | | | | | 	M/G1 VCL vinculin Hs.75350 AA486728 cell shape and cell size control| | | | | | | | | | | | | 
IMAGE:366414	AA026429	29128	G1/S	ICBP90 transcription factor Hs.108106	cell proliferation| transcription| | | | | | | | | | | | 	G1/S ICBP90 transcription factor Hs.108106 AA026429 cell proliferation| transcription| | | | | | | | | | | | 
IMAGE:1550739	AA908902	29128	G1/S	ICBP90 transcription factor Hs.108106	cell proliferation| transcription| | | | | | | | | | | | 	G1/S ICBP90 transcription factor Hs.108106 AA908902 cell proliferation| transcription| | | | | | | | | | | | 
IMAGE:625584	AA186427	10293	G2	TRIP TRAF interacting protein Hs.21254	cell proliferation| signal transduction| cell death| | | | | | | | | | | 	G2 TRIP TRAF interacting protein Hs.21254 AA186427 cell proliferation| signal transduction| cell death| | | | | | | | | | | 
IMAGE:472185	AA057170	9510	G1/S	"ADAMTS1 a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1 Hs.8230"	cell proliferation| signal transduction| | | | | | | | | | | | 	"G1/S ADAMTS1 a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1 Hs.8230 AA057170 cell proliferation| signal transduction| | | | | | | | | | | | "
